0,0,0
100,0,0
200,0,0
300,0,1
400,1,1
500,1,2
600,2,3
700,3,4
800,3,5
900,4,6
1000,5,7
1100,6,9
1200,7,10
1300,8,13
1400,9,14
1500,11,17
1600,14,19
1700,16,21
1800,17,25
1900,18,26
2000,23,30
2100,33,35
2200,28,37
2300,30,41
2400,35,43
2500,36,45
2600,38,51
2700,42,52
2800,45,58
2900,48,64
3000,55,70
3100,57,73
3200,83,75
3300,66,81
3400,72,87
3500,81,90
3600,76,97
3700,81,100
3800,87,105
3900,98,117
4000,121,143
4100,115,123
4200,116,134
4300,129,148
4400,134,148
4500,147,160
4600,161,158
4700,170,169
4800,201,173
4900,195,194
5000,196,189
5100,209,195
5200,226,205
5300,249,213
5400,257,222
5500,248,230
5600,276,241
5700,292,250
5800,294,257
5900,310,269
6000,333,276
6100,349,287
6200,361,297
6300,376,304
6400,512,323
6500,413,329
6600,420,340
6700,444,349
6800,462,365
6900,478,366
7000,490,382
7100,522,392
7200,538,401
7300,570,426
7400,575,425
7500,595,455
7600,606,455
7700,637,468
7800,653,474
7900,692,514
8000,724,505
8100,717,504
8200,676,529
8300,709,538
8400,717,561
8500,749,553
8600,766,615
8700,792,590
8800,889,601
8900,817,624
9000,825,641
9100,859,652
9200,887,663
9300,897,707
9400,909,694
9500,953,709
9600,1197,714
9700,976,731
9800,1007,750
9900,1010,789
10000,1029,793
10100,1065,794
10200,1076,868
10300,1111,826
10400,1245,844
10500,1175,875
10600,1173,874
10700,1220,892
10800,1224,903
10900,1293,921
11000,1276,940
11100,1317,968
11200,1719,956
11300,1356,991
11400,1376,987
11500,1414,1039
11600,1413,1040
11700,1441,1057
11800,1473,1102
11900,1487,1090
12000,1646,1141
12100,1539,1129
12200,1548,1151
12300,1605,1158
12400,1610,1181
12500,1639,1240
12600,1676,1208
12700,1733,1266
12800,5446,1288
12900,1761,1274
13000,1764,1297
13100,1837,1326
13200,1828,1315
13300,1901,1340
13400,1899,1358
13500,1959,1432
13600,2087,1399
13700,2009,1425
13800,2068,1444
13900,2184,1597
14000,2221,1641
14100,2288,1637
14200,2269,1640
14300,2290,1655
14400,2494,1679
14500,2414,1689
14600,2383,1691
14700,2427,1710
14800,2494,1737
14900,2531,1791
15000,2543,1832
15100,2558,1807
15200,2722,1838
15300,2638,1844
15400,6349,2783
15500,7221,4478
15600,6336,4519
15700,3781,4578
15800,2892,1895
15900,2954,1964
16000,6146,1973
16100,3039,1895
16200,3086,1942
16300,3058,1967
16400,3195,2015
16500,3191,2046
16600,3269,2179
16700,3355,2201
16800,3391,2212
16900,3294,2236
17000,3467,2245
17100,3474,2253
17200,3552,2323
17300,3622,2336
17400,3630,2372
17500,3656,2403
17600,4109,2409
17700,3876,2335
17800,3817,2379
17900,3940,2497
18000,3858,2511
18100,3941,2563
18200,4073,2591
18300,9331,3854
18400,9127,6312
18500,7811,6383
18600,4335,2602
18700,4512,2579
18800,4312,2613
18900,4553,2647
19000,4516,2690
19100,4849,2828
19200,14193,2766
19300,5002,2739
19400,4865,2774
19500,5160,2829
19600,4807,2869
19700,5272,2914
19800,4981,2897
19900,5499,2979
20000,5171,3016
20100,5723,3065
20200,5470,3061
20300,5882,3122
20400,5356,3134
20500,6044,3138
20600,5871,3233
20700,6282,3270
20800,6649,3200
20900,6365,3292
21000,11805,3335
21100,13426,8285
21200,7093,8331
21300,6935,3312
21400,6747,3364
21500,6682,3376
21600,6351,3434
21700,7076,3488
21800,7012,3544
21900,7526,3591
22000,6655,3612
22100,8200,3635
22200,7431,3640
22300,8581,3743
22400,15199,3754
22500,9242,3688
22600,7926,3778
22700,9284,3853
22800,7607,3901
22900,9174,3911
23000,8646,3947
23100,9344,3905
23200,8223,4026
23300,9985,4127
23400,9352,4127
23500,10038,4131
23600,8588,4138
23700,20422,4920
23800,11293,10527
23900,10228,4155
24000,10598,4198
24100,10957,4237
24200,10183,4296
24300,11114,4290
24400,9708,4417
24500,11309,4384
24600,10632,4412
24700,11774,4545
24800,10521,4558
24900,12103,4590
25000,12070,4717
25100,12478,4663
25200,11622,4746
25300,13253,4799
25400,13062,4686
25500,13553,4857
25600,25280,4870
25700,14483,4830
25800,14342,4872
25900,14563,4937
26000,14086,4914
26100,15213,5022
26200,15690,4981
26300,15934,5087
26400,15676,5148
26500,16451,5174
26600,16245,5232
26700,17626,5285
26800,17046,5282
26900,18318,5348
27000,18346,5385
27100,18957,5415
27200,19208,5367
27300,19100,5475
27400,20043,5537
27500,20634,5501
27600,20234,5527
27700,21367,5590
27800,21691,5625
27900,22135,5686
28000,22034,5705
28100,23208,5735
28200,23542,5786
28300,23882,5827
28400,24298,5856
28500,24894,5928
28600,25570,5962
28700,26284,5980
28800,33683,6025
28900,27210,6080
29000,26935,6104
29100,28648,6157
29200,28045,6166
29300,29571,6232
29400,30160,6275
29500,31010,6307
29600,31301,6371
29700,30146,6402
29800,32398,6442
29900,33061,6486
30000,32363,6508
30100,34440,6572
30200,34037,6603
30300,34954,6660
30400,34444,6704
30500,35547,6737
30600,35666,6774
30700,35888,6820
30800,36641,6881
30900,37818,6912
31000,38301,6998
31100,38299,7017
31200,39263,7071
